task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
429	3e/98ac73	424133	analyse_1 (NA07357.wgs)	COMPLETED	0	2025-12-25 12:08:02.409	1.3s	0ms	44.7%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
432	6c/60da93	424207	analyse_1 (NA10831.wgs)	COMPLETED	0	2025-12-25 12:08:02.436	1.3s	0ms	23.9%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
430	05/9be7a6	424146	format_snvs (13)	COMPLETED	0	2025-12-25 12:08:02.416	2.1s	0ms	51.6%	1.5 MB	7.4 MB	183.3 KB	75.3 KB
431	55/fdc54c	424159	format_snvs (14)	COMPLETED	0	2025-12-25 12:08:02.422	3.7s	0ms	58.6%	1.5 MB	7.4 MB	166.1 KB	68.8 KB
433	a3/7b0fbb	425279	analyse_2 (NA18980.wgs)	COMPLETED	0	2025-12-25 12:08:02.656	5.4s	0ms	26.2%	1.5 MB	7.4 MB	56.7 KB	1.5 KB
434	23/47d793	425308	analyse_3 (NA18980.wgs)	COMPLETED	0	2025-12-25 12:08:02.662	5.4s	0ms	30.7%	1.5 MB	7.4 MB	65 KB	1.5 KB
223	1b/2068d7	422475	call_snvs1 (35)	COMPLETED	0	2025-12-25 12:08:00.880	7.2s	1s	455.1%	19.9 MB	1.7 GB	4.1 MB	327.3 KB
205	87/b1e175	422480	get_depth (45)	COMPLETED	0	2025-12-25 12:08:00.897	7.2s	0ms	113.4%	1.7 MB	7.1 MB	5.4 MB	1.4 KB
340	eb/656e1d	424115	call_snvs1 (64)	COMPLETED	0	2025-12-25 12:08:02.398	5.7s	1s	481.0%	1.6 MB	8 MB	4 MB	312.5 KB
131	34/f9ab54	424124	call_snvs2 (22)	COMPLETED	0	2025-12-25 12:08:02.404	5.7s	1s	504.1%	1 MB	7.9 MB	3.8 MB	283.5 KB
267	21/941bfe	424113	call_sv_dup (62)	COMPLETED	0	2025-12-25 12:08:02.392	8.5s	2s	100.7%	33.4 MB	44.7 MB	4.4 MB	15.7 KB
68	47/34f07b	424174	call_sv_dup (13)	COMPLETED	0	2025-12-25 12:08:02.426	8.5s	3s	100.8%	34 MB	45.5 MB	4.6 MB	15.6 KB
147	0d/008d17	424191	call_sv_del (31)	COMPLETED	0	2025-12-25 12:08:02.431	8.5s	3s	101.0%	32.9 MB	44.4 MB	4.9 MB	14.5 KB
135	d2/ce92fe	425243	get_depth (33)	COMPLETED	0	2025-12-25 12:08:02.648	8.3s	0ms	92.1%	1.7 MB	7.1 MB	5.4 MB	1.4 KB
435	11/77ed69	425351	call_stars (NA10854.wgs)	COMPLETED	0	2025-12-25 12:08:02.668	8.3s	0ms	37.3%	1.9 MB	5.6 MB	1 MB	10.8 KB
87	95/376a83	424112	call_sv_del (18)	COMPLETED	0	2025-12-25 12:08:02.386	8.6s	3s	101.2%	32.9 MB	44.7 MB	4.9 MB	14.5 KB
282	70/93dd96	428705	call_snvs2 (46)	COMPLETED	0	2025-12-25 12:08:03.586	8.5s	2s	409.4%	1.2 MB	8 MB	4.1 MB	329.2 KB
