task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
313	db/7e7fe5	2036607	call_sv_del (52)	COMPLETED	0	2025-12-25 13:24:32.218	5.5s	2s	100.1%	32.5 MB	44.1 MB	4.3 MB	14.5 KB
380	3a/1660ff	2040963	analyse_3 (NA19143.wgs)	COMPLETED	0	2025-12-25 13:24:35.986	2.9s	0ms	48.0%	1.7 MB	7.4 MB	70.9 KB	2.3 KB
382	a7/fe23b3	2041283	format_snvs (4)	COMPLETED	0	2025-12-25 13:24:36.083	2.8s	0ms	32.7%	1.7 MB	7.4 MB	267.2 KB	129.9 KB
180	75/cd0204	2040125	get_depth (37)	COMPLETED	0	2025-12-25 13:24:35.507	3.4s	0ms	101.0%	1.7 MB	7.1 MB	9.9 MB	1.6 KB
242	f8/0aa7b0	2040117	call_snvs2 (60)	COMPLETED	0	2025-12-25 13:24:35.499	3.4s	1s	543.4%	1 MB	7.9 MB	3.3 MB	245.8 KB
215	3e/ba4b04	2038322	call_snvs2 (52)	COMPLETED	0	2025-12-25 13:24:34.119	6.8s	1s	466.0%	1 MB	7.9 MB	3.4 MB	278 KB
381	e0/5b8f53	2040961	phase_snvs (NA19143.wgs)	FAILED	127	2025-12-25 13:24:35.982	5.1s	5s	-	-	-	-	-
245	b0/e9bd61	2038406	call_sv_del (40)	COMPLETED	0	2025-12-25 13:24:34.212	8.2s	3s	100.8%	32.8 MB	44.9 MB	4.1 MB	14.5 KB
177	c4/35bf5b	2041263	call_snvs1 (28)	COMPLETED	0	2025-12-25 13:24:36.075	6.4s	1s	312.9%	1.2 MB	8 MB	3.4 MB	304.9 KB
8	62/c6343e	2041271	get_depth (2)	COMPLETED	0	2025-12-25 13:24:36.079	6.4s	1s	97.7%	1.5 MB	7.1 MB	9.7 MB	1.6 KB
35	fd/8e7a04	2043238	call_snvs1 (8)	COMPLETED	0	2025-12-25 13:24:36.672	5.8s	1s	402.5%	1.1 MB	7.9 MB	4.2 MB	406.8 KB
383	42/bdb873	2045537	analyse_1 (NA18509.wgs)	COMPLETED	0	2025-12-25 13:24:37.728	4.8s	0ms	40.1%	1.5 MB	7.4 MB	48.2 KB	1.5 KB
86	06/fb877e	2038318	call_sv_dup (19)	COMPLETED	0	2025-12-25 13:24:34.113	8.4s	3s	99.9%	32.7 MB	44.5 MB	4.6 MB	15.6 KB
135	b3/921370	2044824	call_sv_dup (33)	COMPLETED	0	2025-12-25 13:24:37.084	5.4s	2s	98.7%	32.5 MB	44.2 MB	4.3 MB	15.6 KB
185	c8/c5dd57	2045534	call_sv_del (31)	COMPLETED	0	2025-12-25 13:24:37.722	6s	2s	97.3%	32.4 MB	44.2 MB	4.8 MB	14.4 KB
384	93/b592ef	2047438	save_vcfs (NA07019.wgs)	COMPLETED	0	2025-12-25 13:24:38.920	4.8s	0ms	94.6%	0	0	49.1 KB	12.1 KB
385	dd/0f6c5e	2047448	get_core_var (NA07019.wgs)	COMPLETED	0	2025-12-25 13:24:38.926	4.8s	0ms	37.7%	1.5 MB	7.4 MB	162.2 KB	73.1 KB
386	b2/affd35	2047462	format_snvs (5)	COMPLETED	0	2025-12-25 13:24:38.931	4.8s	0ms	36.0%	1.5 MB	7.4 MB	235.9 KB	112.9 KB
97	b9/a6690b	2047429	get_depth (22)	COMPLETED	0	2025-12-25 13:24:38.906	4.9s	1s	94.4%	1.5 MB	7.1 MB	9.3 MB	1.6 KB
387	2e/373147	2048264	format_snvs (6)	COMPLETED	0	2025-12-25 13:24:41.111	2.8s	0ms	30.5%	1.5 MB	7.4 MB	203.2 KB	91.6 KB
151	12/0dbf02	2047433	call_snvs2 (34)	COMPLETED	0	2025-12-25 13:24:38.913	5.1s	1s	356.8%	1.1 MB	7.9 MB	3.9 MB	306.7 KB
192	34/2fba66	2048258	call_snvs2 (47)	COMPLETED	0	2025-12-25 13:24:41.102	3.6s	1s	453.0%	1.1 MB	7.9 MB	4 MB	338.9 KB
393	10/0edbfe	2051815	analyse_3 (NA07019.wgs)	COMPLETED	0	2025-12-25 13:24:43.771	1s	0ms	81.9%	1.7 MB	7.4 MB	72.6 KB	2.5 KB
391	45/3f9925	2051789	analyse_1 (NA07000.wgs)	COMPLETED	0	2025-12-25 13:24:43.754	2.2s	0ms	81.9%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
389	b2/1edc40	2051797	format_snvs (7)	COMPLETED	0	2025-12-25 13:24:43.761	2.2s	0ms	40.3%	1.9 MB	7.7 MB	225.5 KB	103.7 KB
392	89/32f71f	2051806	phase_snvs (NA07019.wgs)	FAILED	127	2025-12-25 13:24:43.766	2.2s	2.2s	-	-	-	-	-
395	1e/7888d8	2051822	save_vcfs (NA18518.wgs)	COMPLETED	0	2025-12-25 13:24:43.776	2.2s	0ms	69.3%	0	0	48.7 KB	11.3 KB
