Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
18	:	1766383889.886	     0.554	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA11839.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA11839.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA11839.10x.short.stdout 2>&1
19	:	1766383890.369	     0.552	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA11993.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA11993.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA11993.10x.short.stdout 2>&1
20	:	1766383890.446	     0.566	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA12003.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA12003.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA12003.10x.short.stdout 2>&1
21	:	1766383890.927	     0.407	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA12006.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA12006.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA12006.10x.short.stdout 2>&1
22	:	1766383891.020	     0.417	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA12145.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA12145.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA12145.10x.short.stdout 2>&1
23	:	1766383891.340	     0.438	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA12156.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA12156.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA12156.10x.short.stdout 2>&1
24	:	1766383891.444	     0.490	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA12236.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA12236.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA12236.10x.short.stdout 2>&1
25	:	1766383891.784	     0.524	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA12717.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA12717.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA12717.10x.short.stdout 2>&1
26	:	1766383891.940	     0.483	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA12813.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA12813.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA12813.10x.short.stdout 2>&1
27	:	1766383892.314	     0.392	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA12873.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA12873.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA12873.10x.short.stdout 2>&1
28	:	1766383892.430	     0.485	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA15245.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA15245.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA15245.10x.short.stdout 2>&1
29	:	1766383892.712	     0.445	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17074.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17074.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17074.10x.short.stdout 2>&1
