task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
201	a1/9b7379	2349809	call_sv_del (51)	COMPLETED	0	2025-12-25 10:43:06.442	9.1s	2s	97.2%	45.4 MB	1.7 GB	5.3 MB	14.5 KB
714	ca/fada1e	2349823	analyse_1 (NA18564.wgs)	COMPLETED	0	2025-12-25 10:43:06.452	9.1s	0ms	48.8%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
163	3f/a944c0	2349835	call_sv_dup (26)	COMPLETED	0	2025-12-25 10:43:06.458	9.1s	2s	98.2%	43.7 MB	53.5 MB	4.8 MB	15.6 KB
697	0e/40f3af	2353215	analyse_2 (NA10847.wgs)	COMPLETED	0	2025-12-25 10:43:08.272	7.9s	0ms	43.6%	1.5 MB	7.4 MB	56.1 KB	1.4 KB
715	ee/d5466d	2353633	analyse_2 (NA18524.wgs)	COMPLETED	0	2025-12-25 10:43:08.448	8.7s	0ms	40.9%	1.5 MB	7.4 MB	56.1 KB	1.4 KB
710	2a/668384	2353632	get_core_var (NA11993.wgs)	COMPLETED	0	2025-12-25 10:43:08.445	8.8s	0ms	27.3%	1.5 MB	7.4 MB	119.4 KB	56.9 KB
718	31/5dfa01	2353637	analyse_3 (NA19176.wgs)	COMPLETED	0	2025-12-25 10:43:08.451	8.7s	0ms	41.1%	1.5 MB	7.4 MB	70.7 KB	2.2 KB
723	e9/9f9fee	2355313	get_core_var (NA07029.wgs)	COMPLETED	0	2025-12-25 10:43:15.418	1.8s	0ms	45.2%	1.5 MB	7.4 MB	111.6 KB	52 KB
664	80/393325	2355311	format_snvs (53)	COMPLETED	0	2025-12-25 10:43:15.406	1.9s	0ms	51.5%	1.7 MB	7.4 MB	259.8 KB	107.3 KB
703	f6/df2853	2353220	call_stars (NA18544.wgs)	COMPLETED	0	2025-12-25 10:43:08.278	11.5s	0ms	43.5%	1.9 MB	5.6 MB	1.2 MB	1.6 KB
724	66/b7ee49	2355312	save_vcfs (NA07029.wgs)	COMPLETED	0	2025-12-25 10:43:15.412	4.4s	0ms	131.5%	0	0	48.3 KB	10.6 KB
145	8a/ad1282	2353214	call_snvs2 (26)	COMPLETED	0	2025-12-25 10:43:08.267	11.7s	2s	346.2%	20.6 MB	1.7 GB	5.4 MB	692.9 KB
649	2e/7b1f71	2355835	call_stars (NA12873.wgs)	COMPLETED	0	2025-12-25 10:43:15.558	4.4s	1s	64.1%	2 MB	5.6 MB	1.2 MB	1.6 KB
666	09/b3d9e6	2355859	format_snvs (54)	COMPLETED	0	2025-12-25 10:43:15.561	4.4s	0ms	46.1%	1.7 MB	7.7 MB	289 KB	119.7 KB
722	38/e5b0d4	2355890	analyse_3 (NA18552.wgs)	COMPLETED	0	2025-12-25 10:43:15.564	4.4s	1s	50.8%	1.5 MB	7.4 MB	68.5 KB	2.1 KB
725	98/8d8924	2355923	save_vcfs (NA19789.wgs)	COMPLETED	0	2025-12-25 10:43:15.567	4.4s	0ms	105.8%	0	0	48.3 KB	10.5 KB
731	f9/41f712	2356051	analyse_1 (NA07029.wgs)	COMPLETED	0	2025-12-25 10:43:15.578	4.4s	1s	31.6%	1.5 MB	7.4 MB	48.2 KB	1.5 KB
699	b1/ac9412	2357578	analyse_2 (NA12145.wgs)	COMPLETED	0	2025-12-25 10:43:16.224	3.7s	1s	41.4%	1.5 MB	7.4 MB	56.1 KB	1.4 KB
728	f0/a48922	2356018	analyse_1 (HG00589.wgs)	COMPLETED	0	2025-12-25 10:43:15.574	5s	1s	31.7%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
291	f0/cd20b5	2356154	call_sv_del (69)	COMPLETED	0	2025-12-25 10:43:15.592	10s	2s	102.5%	41.9 MB	53.2 MB	4.9 MB	14.5 KB
8	59/5e5174	2356181	call_snvs1 (2)	COMPLETED	0	2025-12-25 10:43:15.596	10s	2s	463.9%	21.2 MB	1.7 GB	5.6 MB	765.9 KB
162	6d/49f959	2356200	call_snvs1 (33)	COMPLETED	0	2025-12-25 10:43:15.599	10s	2s	471.4%	21.3 MB	1.7 GB	5.9 MB	818.3 KB
726	e4/e9e02e	2358454	get_core_var (NA19789.wgs)	COMPLETED	0	2025-12-25 10:43:17.204	8.4s	0ms	32.0%	1.5 MB	7.4 MB	111.5 KB	52 KB
734	12/8217bf	2358457	analyse_3 (NA11993.wgs)	COMPLETED	0	2025-12-25 10:43:17.209	8.4s	0ms	52.7%	1.5 MB	7.4 MB	74 KB	2.6 KB
668	36/e3eaf7	2358583	format_snvs (55)	COMPLETED	0	2025-12-25 10:43:17.299	8.3s	0ms	53.9%	1.5 MB	7.4 MB	285.4 KB	121 KB
738	7c/1780a5	2360171	get_core_var (NA07055.wgs)	COMPLETED	0	2025-12-25 10:43:18.304	7.3s	0ms	24.8%	1.5 MB	7.4 MB	110.7 KB	51.8 KB
670	de/cfd2d8	2362141	call_stars (NA18617.wgs)	COMPLETED	0	2025-12-25 10:43:19.816	5.8s	0ms	44.6%	2 MB	5.6 MB	1.2 MB	1.5 KB
737	0a/317118	2362142	save_vcfs (NA07055.wgs)	COMPLETED	0	2025-12-25 10:43:19.819	5.8s	0ms	55.8%	0	0	48 KB	10 KB
671	64/a68dbe	2362461	call_stars (NA19207.wgs)	COMPLETED	0	2025-12-25 10:43:19.938	5.7s	0ms	51.6%	2 MB	5.6 MB	1.2 MB	1.5 KB
680	0b/d126af	2362464	format_snvs (56)	COMPLETED	0	2025-12-25 10:43:19.941	5.7s	0ms	45.0%	1.5 MB	7.4 MB	178.8 KB	74.1 KB
735	3e/da1899	2362470	analyse_3 (NA07029.wgs)	COMPLETED	0	2025-12-25 10:43:19.945	5.7s	0ms	50.7%	1.5 MB	7.4 MB	68.5 KB	1.9 KB
741	a9/44c19d	2362478	save_vcfs (NA12006.wgs)	COMPLETED	0	2025-12-25 10:43:19.947	5.7s	0ms	58.7%	0	0	48.4 KB	10.7 KB
719	16/34fdd8	2362489	analyse_2 (NA19176.wgs)	COMPLETED	0	2025-12-25 10:43:19.950	5.7s	0ms	27.5%	1.5 MB	7.4 MB	56.1 KB	1.4 KB
134	d2/c611e1	2356072	call_sv_dup (20)	COMPLETED	0	2025-12-25 10:43:15.582	10.1s	3s	100.4%	42.6 MB	53.9 MB	5.6 MB	15.6 KB
154	f4/e4ba8a	2356096	call_sv_dup (24)	COMPLETED	0	2025-12-25 10:43:15.585	10.1s	3s	100.6%	43.4 MB	53 MB	4.7 MB	15.6 KB
58	c0/fe73a5	2356126	call_sv_del (14)	COMPLETED	0	2025-12-25 10:43:15.589	10.1s	3s	99.1%	42.1 MB	53.2 MB	5.2 MB	14.5 KB
706	9a/3f1bbc	2358409	analyse_2 (NA06991.wgs)	COMPLETED	0	2025-12-25 10:43:17.107	8.6s	0ms	15.5%	1.5 MB	7.4 MB	56.1 KB	1.4 KB
753	e2/f04a7d	2364986	save_vcfs (NA18973.wgs)	COMPLETED	0	2025-12-25 10:43:25.656	2.8s	0ms	119.6%	0	0	47.2 KB	8.3 KB
744	d4/cb64b2	2364878	analyse_1 (NA18973.wgs)	COMPLETED	0	2025-12-25 10:43:25.610	3s	0ms	31.0%	1.5 MB	7.4 MB	48.3 KB	1.4 KB
747	8a/769b85	2364931	analyse_2 (NA19789.wgs)	COMPLETED	0	2025-12-25 10:43:25.639	2.9s	0ms	42.8%	1.5 MB	7.4 MB	56.1 KB	1.4 KB
749	92/9e49a7	2364943	save_vcfs (NA18980.wgs)	COMPLETED	0	2025-12-25 10:43:25.643	2.9s	0ms	133.3%	0	0	48.5 KB	10.9 KB
752	a2/80e5ed	2364955	analyse_3 (NA07055.wgs)	COMPLETED	0	2025-12-25 10:43:25.648	2.9s	0ms	50.8%	1.5 MB	7.4 MB	67.2 KB	1.9 KB
727	8d/ef5bd5	2365145	analyse_2 (NA18552.wgs)	COMPLETED	0	2025-12-25 10:43:25.683	4.9s	1s	17.3%	1.5 MB	7.4 MB	56.2 KB	1.4 KB
756	f7/17cd0e	2365166	analyse_1 (NA10847.wgs)	COMPLETED	0	2025-12-25 10:43:25.687	4.9s	0ms	36.6%	1.5 MB	7.4 MB	48.2 KB	1.5 KB
740	e4/8f7209	2364875	get_core_var (NA12006.wgs)	COMPLETED	0	2025-12-25 10:43:25.604	5s	1s	27.8%	1.5 MB	7.4 MB	111.8 KB	52.1 KB
745	8d/3f0d8d	2364881	format_snvs (69)	COMPLETED	0	2025-12-25 10:43:25.615	5s	1s	34.0%	1.5 MB	7.4 MB	268.1 KB	108.3 KB
748	50/aac043	2364919	analyse_3 (NA19789.wgs)	COMPLETED	0	2025-12-25 10:43:25.634	4.9s	0ms	53.3%	1.5 MB	7.4 MB	68.4 KB	1.9 KB
755	8c/523df8	2365009	call_stars (NA19176.wgs)	COMPLETED	0	2025-12-25 10:43:25.661	4.9s	1s	40.4%	2 MB	5.6 MB	1.2 MB	1.5 KB
120	b4/2c5232	2364868	call_sv_del (31)	COMPLETED	0	2025-12-25 10:43:25.571	10s	3s	97.8%	44.9 MB	1.2 GB	4.8 MB	14.4 KB
746	84/a30d70	2364889	format_snvs (70)	COMPLETED	0	2025-12-25 10:43:25.620	9.9s	1s	36.9%	1.5 MB	7.4 MB	296.1 KB	124.2 KB
750	6a/d49caa	2364975	get_core_var (NA18980.wgs)	COMPLETED	0	2025-12-25 10:43:25.652	9.9s	1s	23.6%	1.5 MB	7.4 MB	113.2 KB	53.3 KB
688	73/71c96f	2365044	call_stars (NA07348.wgs)	COMPLETED	0	2025-12-25 10:43:25.666	9.9s	1s	49.7%	1.9 MB	5.6 MB	1.2 MB	1.5 KB
337	15/1280e1	2365061	call_sv_dup (57)	COMPLETED	0	2025-12-25 10:43:25.671	9.9s	3s	97.7%	43.5 MB	53.3 MB	5.2 MB	15.6 KB
340	af/dc6227	2365083	call_sv_dup (60)	COMPLETED	0	2025-12-25 10:43:25.675	9.9s	2s	97.1%	41.2 MB	52.5 MB	3.7 MB	15.6 KB
108	83/8176fb	2365110	call_sv_del (28)	COMPLETED	0	2025-12-25 10:43:25.679	9.9s	2s	98.6%	41.7 MB	53 MB	4.7 MB	14.6 KB
733	8c/9b8e99	2368955	analyse_2 (NA11993.wgs)	COMPLETED	0	2025-12-25 10:43:28.583	12s	0ms	48.5%	1.5 MB	7.4 MB	56.8 KB	1.5 KB
763	12/ad74dc	2369054	save_vcfs (NA20509.wgs)	COMPLETED	0	2025-12-25 10:43:30.597	12.5s	0ms	105.8%	0	0	48.2 KB	10.4 KB
681	d3/05edb5	2369067	format_snvs (57)	COMPLETED	0	2025-12-25 10:43:30.602	12.5s	0ms	32.1%	1.5 MB	7.4 MB	295.9 KB	120 KB
736	2f/5fb4c4	2369040	analyse_2 (NA07029.wgs)	COMPLETED	0	2025-12-25 10:43:30.575	12.6s	0ms	43.3%	1.5 MB	7.4 MB	56.1 KB	1.4 KB
754	1d/041ce3	2369041	get_core_var (NA18973.wgs)	COMPLETED	0	2025-12-25 10:43:30.581	12.6s	0ms	27.4%	1.5 MB	7.4 MB	106.5 KB	49.4 KB
757	1c/3fe17f	2369042	call_stars (NA06991.wgs)	COMPLETED	0	2025-12-25 10:43:30.587	12.6s	0ms	40.3%	1.9 MB	5.6 MB	1.2 MB	1.5 KB
760	01/335efc	2369047	analyse_3 (NA12006.wgs)	COMPLETED	0	2025-12-25 10:43:30.592	12.6s	0ms	40.9%	1.5 MB	7.4 MB	68.6 KB	2.1 KB
766	e2/f72bc1	2369583	save_vcfs (NA18861.wgs)	COMPLETED	0	2025-12-25 10:43:35.594	10s	0ms	98.5%	0	0	48.8 KB	11.5 KB
769	fa/240fb1	2369593	analyse_3 (NA18980.wgs)	COMPLETED	0	2025-12-25 10:43:35.599	10s	0ms	40.6%	1.5 MB	7.4 MB	69.2 KB	2.2 KB
771	04/d0e6ee	2369609	analyse_1 (NA18966.wgs)	COMPLETED	0	2025-12-25 10:43:35.603	10s	0ms	29.7%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
224	f0/22edcf	2369561	call_sv_del (53)	COMPLETED	0	2025-12-25 10:43:35.567	10.1s	2s	96.2%	41.9 MB	53.5 MB	5 MB	14.5 KB
683	d2/8d0eb0	2369562	format_snvs (58)	COMPLETED	0	2025-12-25 10:43:35.573	10.1s	0ms	39.8%	1.5 MB	7.4 MB	318 KB	136.9 KB
689	e2/66f6da	2369563	call_stars (NA10854.wgs)	COMPLETED	0	2025-12-25 10:43:35.579	10.1s	0ms	37.7%	1.9 MB	5.6 MB	1.2 MB	1.5 KB
762	e7/4538f2	2369568	get_core_var (NA20509.wgs)	COMPLETED	0	2025-12-25 10:43:35.584	10.1s	0ms	22.8%	1.5 MB	7.4 MB	111.3 KB	52 KB
765	e9/3f84a9	2369575	analyse_1 (NA07000.wgs)	COMPLETED	0	2025-12-25 10:43:35.589	10.1s	0ms	44.2%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
751	4a/e59bf1	2370720	analyse_2 (NA07055.wgs)	COMPLETED	0	2025-12-25 10:43:40.581	8s	0ms	56.5%	1.5 MB	7.4 MB	56.1 KB	1.4 KB
777	81/1cbdfd	2371934	analyse_3 (NA18973.wgs)	COMPLETED	0	2025-12-25 10:43:43.199	7.4s	0ms	38.8%	1.5 MB	7.4 MB	63.5 KB	1.5 KB
702	66/1358f3	2371838	format_snvs (61)	COMPLETED	0	2025-12-25 10:43:43.079	7.6s	0ms	36.9%	1.5 MB	7.4 MB	270.4 KB	110.3 KB
773	d7/d0fb5d	2371839	save_vcfs (NA07019.wgs)	COMPLETED	0	2025-12-25 10:43:43.084	7.6s	0ms	90.1%	0	0	48.4 KB	10.7 KB
761	13/cd5fd7	2371915	analyse_2 (NA12006.wgs)	COMPLETED	0	2025-12-25 10:43:43.190	7.5s	0ms	13.5%	1.5 MB	7.4 MB	56.1 KB	1.4 KB
764	29/290a66	2371918	call_stars (NA19789.wgs)	COMPLETED	0	2025-12-25 10:43:43.193	7.5s	0ms	31.6%	1.9 MB	5.6 MB	1.2 MB	1.5 KB
767	90/cc6f54	2371929	get_core_var (NA18861.wgs)	COMPLETED	0	2025-12-25 10:43:43.196	7.5s	0ms	24.8%	1.5 MB	7.4 MB	114.4 KB	53.7 KB
781	89/898260	2372442	save_vcfs (NA18519.wgs)	COMPLETED	0	2025-12-25 10:43:45.685	9.9s	0ms	96.2%	0	0	49 KB	12 KB
782	33/77dcea	2372457	analyse_3 (NA20509.wgs)	COMPLETED	0	2025-12-25 10:43:45.689	9.9s	0ms	27.2%	1.5 MB	7.4 MB	68 KB	1.9 KB
707	bd/d8c7a8	2372412	format_snvs (62)	COMPLETED	0	2025-12-25 10:43:45.664	10s	0ms	35.3%	1.5 MB	7.4 MB	272.1 KB	114.1 KB
717	e3/06b085	2372419	call_stars (NA12717.wgs)	COMPLETED	0	2025-12-25 10:43:45.671	10s	0ms	44.4%	1.9 MB	5.6 MB	1.2 MB	1.5 KB
774	b3/464cb0	2372424	get_core_var (NA07019.wgs)	COMPLETED	0	2025-12-25 10:43:45.676	10s	0ms	39.3%	1.5 MB	7.4 MB	111.8 KB	52.1 KB
779	68/b13780	2372429	analyse_1 (NA07056.wgs)	COMPLETED	0	2025-12-25 10:43:45.680	10s	0ms	30.0%	1.5 MB	7.4 MB	48.2 KB	1.5 KB
768	01/319bfd	2373367	analyse_2 (NA18980.wgs)	COMPLETED	0	2025-12-25 10:43:48.581	10.7s	0ms	36.6%	1.5 MB	7.4 MB	56.2 KB	1.4 KB
783	2c/ed13a8	2374048	analyse_2 (NA20509.wgs)	COMPLETED	0	2025-12-25 10:43:50.679	9.9s	0ms	39.0%	1.5 MB	7.4 MB	56.2 KB	1.4 KB
784	4f/5511f9	2374049	call_stars (NA07000.wgs)	COMPLETED	0	2025-12-25 10:43:50.686	9.9s	0ms	45.8%	1.9 MB	5.6 MB	1.2 MB	1.5 KB
786	7b/b58ede	2374057	save_vcfs (NA12003.wgs)	COMPLETED	0	2025-12-25 10:43:50.693	9.9s	0ms	88.7%	0	0	48.1 KB	10.2 KB
787	6f/edaf7b	2374063	get_core_var (NA12003.wgs)	COMPLETED	0	2025-12-25 10:43:50.698	9.9s	0ms	19.9%	1.5 MB	7.4 MB	111 KB	51.8 KB
790	40/ae8fc9	2374072	analyse_3 (NA18861.wgs)	COMPLETED	0	2025-12-25 10:43:50.703	9.9s	0ms	18.7%	1.5 MB	7.4 MB	70.5 KB	2.1 KB
708	ba/be1c41	2374042	format_snvs (63)	COMPLETED	0	2025-12-25 10:43:50.673	10s	0ms	40.5%	1.5 MB	7.4 MB	271.3 KB	112.4 KB
780	29/072634	2374637	get_core_var (NA18519.wgs)	COMPLETED	0	2025-12-25 10:43:55.681	8.7s	0ms	27.0%	1.5 MB	7.4 MB	113.7 KB	52.8 KB
792	c3/2844a9	2374641	save_vcfs (NA19819.wgs)	COMPLETED	0	2025-12-25 10:43:55.686	8.7s	0ms	101.6%	0	0	48.4 KB	10.8 KB
794	a7/08de4d	2374658	analyse_3 (NA07019.wgs)	COMPLETED	0	2025-12-25 10:43:55.692	8.7s	0ms	26.8%	1.5 MB	7.4 MB	68.8 KB	2 KB
716	c6/0d1778	2374625	format_snvs (64)	COMPLETED	0	2025-12-25 10:43:55.669	8.8s	0ms	39.3%	1.5 MB	7.4 MB	271 KB	111.2 KB
720	69/f42291	2374629	call_stars (NA19143.wgs)	COMPLETED	0	2025-12-25 10:43:55.676	8.8s	0ms	37.1%	1.7 MB	5.6 MB	1.2 MB	1.6 KB
770	77/cdf4a8	2375528	analyse_2 (NA18518.wgs)	COMPLETED	0	2025-12-25 10:43:59.286	6.3s	0ms	38.1%	1.5 MB	7.4 MB	56.4 KB	1.4 KB
776	22/566fa8	2376090	analyse_2 (NA18973.wgs)	COMPLETED	0	2025-12-25 10:44:00.569	8.9s	0ms	29.6%	1.5 MB	7.4 MB	55.6 KB	1.3 KB
775	29/adbb0a	2376091	call_stars (NA07029.wgs)	COMPLETED	0	2025-12-25 10:44:00.575	8.9s	0ms	47.6%	2 MB	5.6 MB	1.2 MB	1.5 KB
791	bf/47b139	2376092	get_core_var (NA19819.wgs)	COMPLETED	0	2025-12-25 10:44:00.580	8.9s	0ms	28.4%	1.5 MB	7.4 MB	111.8 KB	52.1 KB
799	04/c3a020	2376098	analyse_3 (NA12003.wgs)	COMPLETED	0	2025-12-25 10:44:00.585	8.9s	0ms	41.7%	1.5 MB	7.4 MB	67.7 KB	1.8 KB
721	85/385188	2376239	format_snvs (65)	COMPLETED	0	2025-12-25 10:44:00.665	8.8s	0ms	40.4%	1.5 MB	7.4 MB	302 KB	132.6 KB
800	d1/982175	2376248	save_vcfs (NA10831.wgs)	COMPLETED	0	2025-12-25 10:44:00.670	8.8s	0ms	99.2%	0	0	48.4 KB	10.7 KB
803	7e/7af848	2376611	analyse_3 (NA18519.wgs)	COMPLETED	0	2025-12-25 10:44:04.370	6.2s	0ms	39.9%	1.5 MB	7.4 MB	71.3 KB	2.3 KB
729	74/ef1dac	2376751	format_snvs (66)	COMPLETED	0	2025-12-25 10:44:04.464	6.1s	0ms	49.2%	1.5 MB	7.4 MB	295.1 KB	126.8 KB
732	d8/d6d51a	2376770	call_stars (NA18524.wgs)	COMPLETED	0	2025-12-25 10:44:04.470	6.1s	0ms	39.3%	1.9 MB	5.6 MB	1.2 MB	1.5 KB
805	a5/1e23fe	2376780	save_vcfs (NA18564.wgs)	COMPLETED	0	2025-12-25 10:44:04.475	6.1s	0ms	118.8%	0	0	48.2 KB	10.3 KB
801	c7/a541db	2376609	get_core_var (NA10831.wgs)	COMPLETED	0	2025-12-25 10:44:04.362	6.3s	0ms	28.1%	1.5 MB	7.4 MB	113.2 KB	53.3 KB
789	93/af8ae4	2377551	analyse_2 (NA18861.wgs)	COMPLETED	0	2025-12-25 10:44:05.571	9s	0ms	31.2%	1.5 MB	7.4 MB	56.3 KB	1.4 KB
793	7e/8db109	2378130	analyse_2 (NA07019.wgs)	COMPLETED	0	2025-12-25 10:44:09.482	6.1s	0ms	43.9%	1.5 MB	7.4 MB	56.1 KB	1.4 KB
795	b9/98f5f4	2378131	call_stars (NA07056.wgs)	COMPLETED	0	2025-12-25 10:44:09.489	6.1s	0ms	43.4%	2 MB	5.6 MB	1.2 MB	1.5 KB
