task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
808	01/c8326e	2050386	get_core_var (NA19226.wgs)	COMPLETED	0	2025-12-25 10:35:40.553	1.5s	0ms	27.8%	1.5 MB	7.4 MB	147.2 KB	62.9 KB
819	d9/a24276	2050410	analyse_3 (NA18942.wgs)	COMPLETED	0	2025-12-25 10:35:40.563	1.5s	0ms	50.0%	1.5 MB	7.4 MB	63.8 KB	1.5 KB
818	c7/92f8f0	2050400	analyse_3 (NA18552.wgs)	COMPLETED	0	2025-12-25 10:35:40.559	3s	0ms	33.4%	1.5 MB	7.4 MB	69 KB	2.1 KB
712	2a/75b611	2050363	call_stars (NA18484.wgs)	COMPLETED	0	2025-12-25 10:35:40.531	4.9s	1s	61.8%	2 MB	5.6 MB	6 MB	1.6 KB
789	b2/f6f09f	2050369	analyse_2 (HG00436.wgs)	COMPLETED	0	2025-12-25 10:35:40.542	4.9s	0ms	38.9%	1.5 MB	7.4 MB	56.6 KB	1.5 KB
805	99/294f02	2050381	get_core_var (NA19207.wgs)	COMPLETED	0	2025-12-25 10:35:40.547	4.9s	0ms	35.1%	1.5 MB	7.4 MB	153.4 KB	66.7 KB
821	b0/908ff2	2051695	save_vcfs (NA18952.wgs)	COMPLETED	0	2025-12-25 10:35:41.624	6.1s	0ms	142.0%	0	0	46.8 KB	7.6 KB
790	1c/c22775	2051756	analyse_2 (NA18565.wgs)	COMPLETED	0	2025-12-25 10:35:42.092	8.4s	0ms	20.0%	1.4 MB	4.3 MB	56.3 KB	1.5 KB
792	d9/8cc347	2051814	call_stars (NA19920.wgs)	COMPLETED	0	2025-12-25 10:35:42.232	8.2s	1s	44.8%	1.2 MB	4.3 MB	10.9 MB	1.8 KB
822	10/588e54	2051819	get_core_var (NA18952.wgs)	COMPLETED	0	2025-12-25 10:35:42.238	8.2s	0ms	26.3%	1.5 MB	7.4 MB	145.9 KB	62.5 KB
